"#","Date Requested","Category","Request / Question","VDR Reference","Priority","Status","Last Update","Seller's Response","Buyer's Follow-Up Comments"
"1","2026-06-12","Transaction & Process","Can you confirm the process mechanics - bid date, number of rounds, diligence window, and the target sign/close - and whether a lead bidder can get exclusivity? Is there any flexibility beyond a 100% cash asset sale (e.g., seller note, phased takedown)?","1.1","Highest","Partial","2026-06-12","Two-stage auction; initial bids targeted ~mid-July; CIM/VDR provided post-NDA in round one; sellers' preference is a 100% cash asset sale.","Need the bid deadline and diligence window in writing, and whether exclusivity opens up after round one."
"2","2026-06-12","Title, Seller & IDA","Please load the full title commitment with Schedule B exceptions and confirm the closing mechanics to deliver clean title - payoff/discharge of the Bank OZK loan (~$52.6M) and release of the Sunbelt Rentals mechanics lien (~$30.5K).","3.1","High","Partial","2026-06-12","WF Industrial XII LLC is fee owner with good & marketable title; existing indebtedness expected to be paid off at closing from sale proceeds.","Confirm the OZK discharge and Sunbelt lien release will be in hand at closing."
"3","2026-06-12","Title, Seller & IDA","Can you share the IDA documents (Company Lease, Lease & Project Agreement, PILOT schedule) and walk us through the consent path for a change of use and change of control - including any recapture exposure if we convert to data center use?","Not in VDR - please add","High","Partial","2026-06-12","Property subject to a Town of Brookhaven IDA lease/leaseback (WF remains fee owner); IDA defines the project as warehouse/distribution; IDA consent required for change of use; a sale without consent can trigger recapture; seller in discussions with TOBIDA.","Need the executed IDA instruments and TOBIDA's written position on consent/recapture."
"4","2026-06-12","Power - Interconnection","Please provide queue-position evidence for NYISO Q#1721 and the draft Interconnection Agreement when available, and confirm the IA and queue position transfer on a change of control without a restudy or timeline reset.","2.2, 2.3","Highest","Partial","2026-06-12","IA application submitted 10/30/2024 under Q#1721; IA expected to execute Q3 2026 for 177 MW; Facilities Study Agreement is binding on successors and assigns; seller holds biweekly PSEG-LI meetings and is on schedule; cited as the only DC in the LI queue per NYISO's public queue.","Want written confirmation a buyer inherits the position cleanly, plus the public NYISO queue cite."
"5","2026-06-12","Power - Interconnection","Help us reconcile the load basis - the CIM cites 177 MW but the SIS studies 176.6 MW. Which figure carries into the IA and ESA, and would any increase trigger a NYISO restudy?","2.2, 1.1","High","Partial","2026-06-12","Final SIS supports a 176.6 MW studied load with no significant adverse reliability impacts; any load revision requires NYISO review and may require a limited restudy.","Confirm the contracted MW figure that will sit in the IA/ESA."
"6","2026-06-12","Power - Substation & Schedule","This is our biggest open item: please reconcile the energization timeline. LIPA's SIS estimates ~39 months from IA execution for the substation and system upgrades, but the CIM markets first power in 2027 and your note suggests a ~12-month buyer self-build. What's the realistic in-service date, and what specifically drives the 39 months - the system upgrades (SUF/CTOAF/SASUF) or the substation itself?","2.2, 2.3","Highest","Partial","2026-06-12","LIPA gave a non-binding estimate of 39 months from IA completion for the substation and relevant upgrades; alternatively the buyer (or LIPA-approved 3rd party) can build the substation in ~12 months with LIPA-approved design; SIS says PSEG-LI makes power available upon substation completion; the 90 MW (2027)/86 MW (2028) ramp is indicative, not contractual.","Need the upgrade scope and sequence behind the 39 months, and a realistic energization date we can underwrite."
"7","2026-06-12","Power - Substation & Schedule","Clarify the substation ownership and build split: materials indicate PSEG-LI owns the switching station/substation while the buyer funds and builds it. Who actually constructs what, and how does that interact with the 12- vs 39-month paths?","2.1, 4.3","High","Partial","2026-06-12","On-site 138 kV 2N design: ~3.5-ac transformer/switchgear yard + ~1-ac PSEG-LI switching substation, 4 x 66 MVA; PSEG-LI will own the substation, customer owns downstream equipment; procurement/construction is the buyer's responsibility; design can't finalize until the facility study completes (~Aug 2026).","Need the ownership/build boundary in writing and how it gates the timeline."
"8","2026-06-12","Power - Substation & Schedule","Which substation budget is the basis - Clune (~$69.4M) or Hunter Roberts (~$84.0M)? And please share long-lead procurement status, quotes, and lead times for the 4 x 66 MVA transformers, HV breakers, and switchgear.","4.3","High","Partial","2026-06-12","Seller cited a Clune ROM of ~$70M (~$50M electrical, ~$10M GC, ~$5M site & building, ~$5M contingency) and ~1-year construction.","Hunter Roberts (~$84M) is also in the room - which governs? Transformer lead time is the critical path; has anything been ordered or quoted?"
"9","2026-06-12","Power - Commercial / ESA","Please provide the draft Electric Service Agreement and confirm the all-in rate, term, escalation, and any credit/security. The CIM cites ~$0.15/kWh under Rate 285 'subject to the executed ESA' - what collateral sizing and CIAC/transmission security are payable?","2.3, 1.1","Highest","Partial","2026-06-12","A 177 MW load falls under Rate 285 (large commercial); the ~$0.15/kWh delivery rate is subject to confirmation under the executed ESA (expected Q4 2026).","Need the ESA draft, collateral sizing, and the CIAC figure."
"10","2026-06-12","Power - Commercial / ESA","Can you confirm the SIS's ~$25.34M (+/-50%) LIPA upgrade cost estimate and how it's allocated between LIPA and the customer, and share the Facilities Study cost/schedule output when it lands?","2.2, 2.3","Medium","Partial","2026-06-12","Facilities Study Agreement required a $90K deposit; study runs ~150 days to draft and ~180 days to final; cost allocation not yet bound.","Need the bound upgrade cost and allocation once the Facilities Study completes (~Aug 2026)."
